년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2018-12-01,131,0.3,-11.6,14.6
2019-01-01,131,-0.1,-8.6,8.8
2019-02-01,131,1.9,-7.9,13.8
2019-03-01,131,7.8,-1.4,20.3
2019-04-01,131,13.1,0.6,29.8
2019-05-01,131,20.2,7.5,33.4
2019-06-01,131,23,13.6,33
2019-07-01,131,26.3,19,35.5
2019-08-01,131,27.6,19.5,36.7
2019-09-01,131,22.9,12.8,32.1
2019-10-01,131,16.5,5.8,27.9
2019-11-01,131,8.7,-2.3,20.9
2019-12-01,131,2.3,-8.2,14.6
2020-01-01,131,2.6,-7,13.3
2020-02-01,131,3.5,-10,16.4
2020-03-01,131,8.5,-3,22.5
2020-04-01,131,11.8,2.4,26.6
2020-05-01,131,19.2,9.8,29.8
2020-06-01,131,24.5,15.6,34.4
2020-07-01,131,24.3,17.7,32.8
2020-08-01,131,27.7,22.2,36
2020-09-01,131,21.5,13.1,31.7
2020-10-01,131,14.5,4.6,25.2
2020-11-01,131,8.8,-1.9,21.2
2020-12-01,131,0.4,-13.7,12.1
